Dataset,Fold,Rep,Conf,Error
airfoil,3,2,5,7.50802645086238
airfoil,3,3,5,8.048965002794969
airfoil,3,4,5,13.903188992229529
airfoil,3,5,5,7.917081675711053
airfoil,4,0,5,25.19362841061704
airfoil,4,1,5,9.176526744055924
airfoil,4,2,5,8.374116605368677
airfoil,4,3,5,8.37486880011418
airfoil,4,4,5,8.819025465929986
airfoil,4,5,5,9.267694230454994
airfoil,0,0,6,7.765130449178501
airfoil,0,1,6,8.948037784990124
airfoil,0,2,6,7.992087190554988
airfoil,0,3,6,9.09632836597914
airfoil,0,4,6,7.7261127295774825
airfoil,0,5,6,8.665857017686136
airfoil,1,0,6,8.46454091000725
airfoil,1,1,6,8.202186428044143
airfoil,1,2,6,7.624822340061359
airfoil,1,3,6,8.499817242349103
airfoil,1,4,6,7.84068087297244
airfoil,1,5,6,8.815923392958338
airfoil,2,0,6,6.138739039557913
airfoil,2,1,6,7.178879352223851
airfoil,2,2,6,7.2720649948793525
airfoil,2,3,6,8.20536361789618
airfoil,2,4,6,6.805047864666533
airfoil,2,5,6,7.734836656584118
airfoil,3,0,6,7.79379533170598
airfoil,3,1,6,13.864766521532571
airfoil,3,2,6,7.946775813302131
airfoil,3,3,6,8.28505639425801
airfoil,3,4,6,8.912204940672869
airfoil,3,5,6,7.101104296560775
airfoil,4,0,6,8.124408122902398
airfoil,4,1,6,8.890468878025604
airfoil,4,2,6,10.05761239337555
airfoil,4,3,6,9.645587798350581
airfoil,4,4,6,7.450474850465659
airfoil,4,5,6,8.44111915262687
airfoil,0,0,7,8.683271974684656
airfoil,0,1,7,10.197982473003787
airfoil,0,2,7,9.23669519453709
airfoil,0,3,7,16.583443275643926
airfoil,0,4,7,17.443981934988326
airfoil,0,5,7,29.175208724050243
airfoil,1,0,7,24.072974256898615
airfoil,1,1,7,9.440066157471556
airfoil,1,2,7,9.717985788820902
airfoil,1,3,7,9.229140606980438
airfoil,1,4,7,11.258843829885782
airfoil,1,5,7,8.862257508588131
airfoil,2,0,7,9.632231996756838
airfoil,2,1,7,15.977938759165013
airfoil,2,2,7,15.897483713538493
airfoil,2,3,7,12.915828436707804
airfoil,2,4,7,10.11651647336208
airfoil,2,5,7,9.001305412885046
airfoil,3,0,7,15.983026171651964
airfoil,3,1,7,9.365880451023575
airfoil,3,2,7,9.34171369338652
airfoil,3,3,7,10.38957630038738
airfoil,3,4,7,11.872167087557454
airfoil,3,5,7,10.12219301353778
airfoil,4,0,7,18.160383900569794
airfoil,4,1,7,17.75886525168676
airfoil,4,2,7,19.02569705238821
airfoil,4,3,7,28.729869138227723
airfoil,4,4,7,17.03556204240162
airfoil,4,5,7,9.233324491212795
airfoil,0,0,8,9.338574661240774
airfoil,0,1,8,17.12754062716223
airfoil,0,2,8,10.060947824404238
airfoil,0,3,8,9.136147531136771
airfoil,0,4,8,16.844845458117312
airfoil,0,5,8,16.224193272679422
airfoil,1,0,8,9.067256444242389
airfoil,1,1,8,16.505201082915253
airfoil,1,2,8,9.623312325396965
airfoil,1,3,8,8.722501158723304
airfoil,1,4,8,16.554063505550072
airfoil,1,5,8,10.34606720365853
airfoil,2,0,8,9.826662038535714
airfoil,2,1,8,7.898149211439359
airfoil,2,2,8,8.106640627351652
airfoil,2,3,8,15.018948288472508
airfoil,2,4,8,9.732126300020047
airfoil,2,5,8,15.911016963062359
airfoil,3,0,8,9.865568729737854
airfoil,3,1,8,9.913426727644525
airfoil,3,2,8,10.166344374826664
airfoil,3,3,8,8.92481226941697
airfoil,3,4,8,9.27452712246276
airfoil,3,5,8,27.398884068068412
airfoil,4,0,8,9.857981292988235
airfoil,4,1,8,17.721587468932242
airfoil,4,2,8,12.065563488155592
airfoil,4,3,8,17.509906774683476
airfoil,4,4,8,9.555006208072413
airfoil,4,5,8,9.747833875339706
airfoil,0,0,9,9.231466890517272
airfoil,0,1,9,16.873762016755673
airfoil,0,2,9,9.038651983519982
airfoil,0,3,9,9.483679124459208
airfoil,0,4,9,9.699765493148789
airfoil,0,5,9,8.77880135502918
airfoil,1,0,9,11.88554813800184
airfoil,1,1,9,9.272333695891481
airfoil,1,2,9,9.190255943919809
airfoil,1,3,9,8.71730027488571
airfoil,1,4,9,9.86719972567318
airfoil,1,5,9,17.437593436872174
airfoil,2,0,9,8.313055721442987
airfoil,2,1,9,15.917601881687943
airfoil,2,2,9,8.296269014003608
airfoil,2,3,9,9.274482329624545
airfoil,2,4,9,8.164925947778409
airfoil,2,5,9,9.127038802945199
airfoil,3,0,9,8.978926106232551
airfoil,3,1,9,24.227058402942816
airfoil,3,2,9,9.1100545728867
airfoil,3,3,9,9.317299075499061
airfoil,3,4,9,26.19684821667713
airfoil,3,5,9,9.097970221412076
airfoil,4,0,9,9.403152039569804
airfoil,4,1,9,17.02469499362245
airfoil,4,2,9,10.602154826590725
airfoil,4,3,9,9.786174313739323
airfoil,4,4,9,17.07089413245047
airfoil,4,5,9,9.6569643561237
airfoil,0,0,10,15.42697302390139
airfoil,0,1,10,8.20688783136404
airfoil,0,2,10,7.976025281278424
airfoil,0,3,10,19.376028521108328
airfoil,0,4,10,16.648116752551996
airfoil,0,5,10,8.860195247387567
airfoil,1,0,10,9.783777014188844
airfoil,1,1,10,7.89581731271886
airfoil,1,2,10,10.898765705392556
airfoil,1,3,10,15.244773526985
airfoil,1,4,10,7.997797011145897
airfoil,1,5,10,15.558839382356785
airfoil,2,0,10,7.257769512015397
airfoil,2,1,10,8.515192408907927
airfoil,2,2,10,8.115678806572248
airfoil,2,3,10,7.591553395587397
airfoil,2,4,10,15.24203533521508
airfoil,2,5,10,16.8504738461184
airfoil,3,0,10,16.698810095216785
airfoil,3,1,10,8.075147257696374
airfoil,3,2,10,16.35139918002404
airfoil,3,3,10,14.996265677330394
airfoil,3,4,10,8.807640311061778
airfoil,3,5,10,14.81025113985642
airfoil,4,0,10,8.311691292245513
airfoil,4,1,10,26.53083267035285
airfoil,4,2,10,16.04908172139329
airfoil,4,3,10,8.310105360721344
airfoil,4,4,10,16.299683872088032
airfoil,4,5,10,16.140641646079292
airfoil,0,0,11,21.599147001619663
airfoil,0,1,11,8.643050826864958
airfoil,0,2,11,8.646203487190194
airfoil,0,3,11,25.84915017180502
airfoil,0,4,11,8.360768908042933
airfoil,0,5,11,7.996408097087202
airfoil,1,0,11,8.602886326986686
airfoil,1,1,11,20.082229498208967
airfoil,1,2,11,14.813251399887331
airfoil,1,3,11,8.540843953724538
airfoil,1,4,11,8.243847202112336
airfoil,1,5,11,8.357777975085662
airfoil,2,0,11,15.73668911566235
airfoil,2,1,11,7.346002484670023
airfoil,2,2,11,7.069113900176793
airfoil,2,3,11,7.683142726867105
airfoil,2,4,11,7.204770266047947
airfoil,2,5,11,8.340124877610748
airfoil,3,0,11,13.963138094999717
airfoil,3,1,11,9.362044077701738
airfoil,3,2,11,14.899936395260344
airfoil,3,3,11,7.4519169747062595
airfoil,3,4,11,8.247512312828485
airfoil,3,5,11,15.277228675537335
airfoil,4,0,11,8.684782473103965
airfoil,4,1,11,16.155093669631725
airfoil,4,2,11,9.237368733056607
airfoil,4,3,11,7.8104532100259
airfoil,4,4,11,9.726839172759064
airfoil,4,5,11,26.52543512210243
airfoil,0,0,12,10.358722322490168
airfoil,0,1,12,15.970849852735984
airfoil,0,2,12,7.984022407739251
airfoil,0,3,12,8.215996596005134
airfoil,0,4,12,8.307124164979617
airfoil,0,5,12,14.578226653031614
airfoil,1,0,12,15.462129638627355
airfoil,1,1,12,8.758266686923289
airfoil,1,2,12,8.080016712580086
airfoil,1,3,12,15.196867021965751
airfoil,1,4,12,7.967706746825116
airfoil,1,5,12,8.460484937992177
airfoil,2,0,12,7.24388378070913
airfoil,2,1,12,7.459737259017542
airfoil,2,2,12,13.891283994717817
airfoil,2,3,12,6.993542073127054
airfoil,2,4,12,13.400730766577057
airfoil,2,5,12,7.12678228711842
airfoil,3,0,12,8.25126070405303
airfoil,3,1,12,8.13908020555738
airfoil,3,2,12,14.261850046911274
airfoil,3,3,12,7.810489989249571
airfoil,3,4,12,15.077992163028297
airfoil,3,5,12,7.8397446880238375
airfoil,4,0,12,9.305142251556088
airfoil,4,1,12,8.38420098216719
airfoil,4,2,12,8.257699724900661
airfoil,4,3,12,10.437185273341289
airfoil,4,4,12,16.506250683767945
airfoil,4,5,12,14.738879722033225
concrete,0,0,1,12.209846693890697
concrete,0,1,1,8.462711056557557
concrete,0,2,1,10.404875056914548
concrete,0,3,1,8.499339008646704
concrete,0,4,1,10.19740093419272
concrete,0,5,1,8.497403537898602
concrete,1,0,1,9.80580416863699
concrete,1,1,1,8.749671733579397
concrete,1,2,1,8.281425808473347
concrete,1,3,1,8.952234124342546
concrete,1,4,1,11.16863158282756
concrete,1,5,1,10.10097362415546
concrete,2,0,1,8.211344448685658
concrete,2,1,1,9.490074808489391
concrete,2,2,1,8.994987837889532
concrete,2,3,1,8.671079595075575
concrete,2,4,1,9.564868319758544
concrete,2,5,1,9.54394764588097
concrete,3,0,1,8.837483913896406
concrete,3,1,1,9.450838511584625
concrete,3,2,1,9.991903887637598
concrete,3,3,1,9.034586125067179
concrete,3,4,1,12.837072200457456
concrete,3,5,1,11.98015231083217
concrete,4,0,1,12.685856510725714
concrete,4,1,1,8.64655936807554
concrete,4,2,1,11.159781254949518
concrete,4,3,1,8.703856432866953
concrete,4,4,1,8.044328808597196
concrete,4,5,1,9.234522735078816
concrete,0,0,2,9.094589696120586
concrete,0,1,2,9.432252937949432
concrete,0,2,2,10.271522292952675
concrete,0,3,2,9.154489326866107
concrete,0,4,2,8.558245298229863
concrete,0,5,2,9.439085257506948
concrete,1,0,2,9.060913881195649
concrete,1,1,2,9.073249514205582
concrete,1,2,2,8.919284094883958
concrete,1,3,2,9.497413256905894
concrete,1,4,2,8.308236183697534
concrete,1,5,2,8.573483483683638
concrete,2,0,2,9.282541127258401
concrete,2,1,2,8.265425910736996
concrete,2,2,2,11.042702351970034
concrete,2,3,2,9.145714315402827
concrete,2,4,2,8.181665229068201
concrete,2,5,2,8.98283978584634
concrete,3,0,2,9.005015829550006
concrete,3,1,2,8.293072908922388
concrete,3,2,2,8.654324863087739
concrete,3,3,2,8.879285854630073
concrete,3,4,2,9.032506099556691
concrete,3,5,2,8.778416469504153
concrete,4,0,2,9.554513426783856
concrete,4,1,2,8.4350987506013
concrete,4,2,2,7.906865383976354
concrete,4,3,2,10.14010704766371
concrete,4,4,2,9.144443174216061
concrete,4,5,2,8.855441703853133
concrete,0,0,3,9.213462198045631
concrete,0,1,3,10.011786860109172
concrete,0,2,3,8.448410689156706
concrete,0,3,3,10.61122278741806
concrete,0,4,3,8.723805223660854
concrete,0,5,3,8.817482176377089
concrete,1,0,3,8.862174583387402
concrete,1,1,3,9.078627476860273
concrete,1,2,3,11.914858572476497
concrete,1,3,3,9.685052020321875
concrete,1,4,3,8.447277353421986
concrete,1,5,3,8.458132935251838
concrete,2,0,3,9.320216101230502
concrete,2,1,3,9.410636605260416
concrete,2,2,3,9.278085232022402
concrete,2,3,3,9.368628676751422
concrete,2,4,3,8.830280018686718
concrete,2,5,3,9.38268813511525
concrete,3,0,3,8.86772906012785
concrete,3,1,3,9.883830677082061
concrete,3,2,3,9.371035824063073
concrete,3,3,3,9.27500028581568
concrete,3,4,3,11.129113840870556
concrete,3,5,3,8.562944434602903
concrete,4,0,3,8.858025892273139
concrete,4,1,3,8.515987571355488
concrete,4,2,3,8.148221180897481
concrete,4,3,3,8.777581753800336
concrete,4,4,3,8.692992026155254
concrete,4,5,3,8.331313554144964
concrete,0,0,4,8.558124152870358
concrete,0,1,4,8.271389912644082
concrete,0,2,4,7.255011480477488
concrete,0,3,4,8.47297294112414
concrete,0,4,4,8.84353578308935
concrete,0,5,4,14.952843855507668
concrete,1,0,4,8.740839994778408
concrete,1,1,4,12.227434983133815
concrete,1,2,4,9.798361561284402
concrete,1,3,4,8.62783035058117
concrete,1,4,4,8.41424448037755
concrete,1,5,4,9.512004956713623
concrete,2,0,4,8.743429721920842
concrete,2,1,4,8.450735808014029
concrete,2,2,4,9.09064029796399
concrete,2,3,4,9.15832807650695
concrete,2,4,4,12.38333403962446
concrete,2,5,4,11.403519292450238
concrete,3,0,4,9.512955413181984
concrete,3,1,4,9.46215228502595
concrete,3,2,4,10.36642814934314
concrete,3,3,4,9.758811130220339
concrete,3,4,4,8.887959397003529
concrete,3,5,4,7.751887456041976
concrete,4,0,4,9.289391257687722
concrete,4,1,4,8.22493599340622
concrete,4,2,4,8.844598628524139
concrete,4,3,4,8.16587651922997
concrete,4,4,4,8.013998118771154
concrete,4,5,4,8.169518985184324
concrete,0,0,5,7.2175785657767975
concrete,0,1,5,9.51653609898385
concrete,0,2,5,9.596404614811814
concrete,0,3,5,9.507230882650374
concrete,0,4,5,8.98780961995429
concrete,0,5,5,8.712561740507699
concrete,1,0,5,12.097187072742154
concrete,1,1,5,8.825542124872301
concrete,1,2,5,7.768560235357918
concrete,1,3,5,8.363215610082426
concrete,1,4,5,8.395371330136264
concrete,1,5,5,8.387737696944763
concrete,2,0,5,9.335350942114259
concrete,2,1,5,9.097389701433906
concrete,2,2,5,8.441500451770054
concrete,2,3,5,8.788297743347778
concrete,2,4,5,9.316364102047663
concrete,2,5,5,8.94094362581899
concrete,3,0,5,9.200038477879932
concrete,3,1,5,9.296036395504789
concrete,3,2,5,9.004403470492434
concrete,3,3,5,10.488649493451085
concrete,3,4,5,8.949912535182202
concrete,3,5,5,8.282044460160845
concrete,4,0,5,9.26582324601511
concrete,4,1,5,8.447557290649899
concrete,4,2,5,8.144731854623046
concrete,4,3,5,9.057708901210296
concrete,4,4,5,8.691182729416438
concrete,4,5,5,9.18104160028491
concrete,0,0,6,8.426636015226768
concrete,0,1,6,8.645235181845337
concrete,0,2,6,8.03452069759894
concrete,0,3,6,9.543027597060261
concrete,0,4,6,8.973327392087228
concrete,0,5,6,8.703354750750655
concrete,1,0,6,8.48794910185747
concrete,1,1,6,8.136771649666823
concrete,1,2,6,9.464609310601865
concrete,1,3,6,9.06012407062582
concrete,1,4,6,10.823211854654973
concrete,1,5,6,8.930836835367414
concrete,2,0,6,7.85863917241897
concrete,2,1,6,9.52369353731112
concrete,2,2,6,8.316082042556836
concrete,2,3,6,9.092630188138822
concrete,2,4,6,8.759955709973005
concrete,2,5,6,8.678336338326679
concrete,3,0,6,8.770637134885968
concrete,3,1,6,8.724722040040238
concrete,3,2,6,8.332316975684918
concrete,3,3,6,9.583491114010014
concrete,3,4,6,9.507584506932632
concrete,3,5,6,8.004348013771077
concrete,4,0,6,8.642647307969357
concrete,4,1,6,8.058328743022333
concrete,4,2,6,8.108785799714969
concrete,4,3,6,8.024649076523975
concrete,4,4,6,8.211001940042163
concrete,4,5,6,8.397313973509357
concrete,0,0,7,7.621555453175921
concrete,0,1,7,10.67022409824949
concrete,0,2,7,10.037522722352678
concrete,0,3,7,9.833109674355581
concrete,0,4,7,9.640086930357429
concrete,0,5,7,9.440984750950248
concrete,1,0,7,9.312808926425285
concrete,1,1,7,8.049061551202728
concrete,1,2,7,8.274584502590177
concrete,1,3,7,8.479842998191184
concrete,1,4,7,11.252343951461468
concrete,1,5,7,8.314160984809956
concrete,2,0,7,10.392560295541555
concrete,2,1,7,8.72590096368112
concrete,2,2,7,9.867874746023785
concrete,2,3,7,9.270964445036357
concrete,2,4,7,9.227224683632738
concrete,2,5,7,10.42659963280467
concrete,3,0,7,7.956792174959083
concrete,3,1,7,11.355984952538245
concrete,3,2,7,9.634730530408019
concrete,3,3,7,8.121290270857074
concrete,3,4,7,9.353082729080535
concrete,3,5,7,9.502147950353777
concrete,4,0,7,9.250891687829409
concrete,4,1,7,8.144908844164553
concrete,4,2,7,8.440549750786449
concrete,4,3,7,9.168553485553762
concrete,4,4,7,9.983912122536713
concrete,4,5,7,9.637486120934572
concrete,0,0,8,10.810667371287638
concrete,0,1,8,8.634212815756355
concrete,0,2,8,11.341492855013813
concrete,0,3,8,8.465872353734783
concrete,0,4,8,8.151330986435122
concrete,0,5,8,7.99744336366515
concrete,1,0,8,9.941290845993676
concrete,1,1,8,9.039730304259994
concrete,1,2,8,9.917118030507059
concrete,1,3,8,9.00544250598246
concrete,1,4,8,9.556167169298748
concrete,1,5,8,9.947587166652921
concrete,2,0,8,8.618686595779522
concrete,2,1,8,9.45534537527833
concrete,2,2,8,8.956970599729171
concrete,2,3,8,9.419989465932709
concrete,2,4,8,8.910305698263354
concrete,2,5,8,9.494106858064592
concrete,3,0,8,8.953896006662475
concrete,3,1,8,9.054858807218418
concrete,3,2,8,9.437505535079264
concrete,3,3,8,10.456920999668936
concrete,3,4,8,9.361554547634267
concrete,3,5,8,10.413400036196212
concrete,4,0,8,10.604567135109093
concrete,4,1,8,8.140903599407084
concrete,4,2,8,8.436250773900452
concrete,4,3,8,8.497794602969911
concrete,4,4,8,8.834424310398921
concrete,4,5,8,8.795978026534032
concrete,0,0,9,9.478432731624943
concrete,0,1,9,8.043794013740403
concrete,0,2,9,8.994554735728656
concrete,0,3,9,9.7512858203367
concrete,0,4,9,8.808035913602666
concrete,0,5,9,9.011490441797212
concrete,1,0,9,8.285930776550583
concrete,1,1,9,8.901160656984638
concrete,1,2,9,9.134132289461284
concrete,1,3,9,9.292778234978247
concrete,1,4,9,8.988754339614049
concrete,1,5,9,8.358387294026386
concrete,2,0,9,9.118811193025092
concrete,2,1,9,9.298508161273489
concrete,2,2,9,8.649229368970563
concrete,2,3,9,8.43621525958191
concrete,2,4,9,8.968163917057913
concrete,2,5,9,9.298532021800488
concrete,3,0,9,9.71493686622175
concrete,3,1,9,10.222758910800524
concrete,3,2,9,9.235195393086427
concrete,3,3,9,8.529708011564697
concrete,3,4,9,10.430439750387922
concrete,3,5,9,9.383543490285671
concrete,4,0,9,9.332903039762627
concrete,4,1,9,8.309253171250145
concrete,4,2,9,9.83452527009747
concrete,4,3,9,8.42346844826481
concrete,4,4,9,8.64487605042873
concrete,4,5,9,8.660228728590777
concrete,0,0,10,8.552033412372909
concrete,0,1,10,7.95843069372123
concrete,0,2,10,8.078603742296636
concrete,0,3,10,8.862161881437881
concrete,0,4,10,9.422425001781184
concrete,0,5,10,8.867247845381875
concrete,1,0,10,10.265200461640495
concrete,1,1,10,9.250969184807298
concrete,1,2,10,8.401920940743947
concrete,1,3,10,8.192332161698502
concrete,1,4,10,8.050432335210246
concrete,1,5,10,9.23454120220449
concrete,2,0,10,9.83967749693829
concrete,2,1,10,8.533458242620485
concrete,2,2,10,10.01313755915885
concrete,2,3,10,9.059241770574443
concrete,2,4,10,8.451926544292105
concrete,2,5,10,8.59476224217214
concrete,3,0,10,20.8207096846564
concrete,3,1,10,11.289566744495309
concrete,3,2,10,9.29455590188443
concrete,3,3,10,8.45753755593844
concrete,3,4,10,10.414398371299725
concrete,3,5,10,8.55635872362798
concrete,4,0,10,7.647345847769969
concrete,4,1,10,8.495452393438182
concrete,4,2,10,8.056051943592799
concrete,4,3,10,8.994462013702217
concrete,4,4,10,8.756139705078557
concrete,4,5,10,7.729559711450816
concrete,0,0,11,8.928723356025971
concrete,0,1,11,11.423296675782327
concrete,0,2,11,8.473276565113844
concrete,0,3,11,10.649282123982454
concrete,0,4,11,8.08740942174916
concrete,0,5,11,9.068612601401371
concrete,1,0,11,7.530810620449181
concrete,1,1,11,9.357406632788345
concrete,1,2,11,7.893253754907403
concrete,1,3,11,8.681469056219685
concrete,1,4,11,7.870950802255149
concrete,1,5,11,8.198732411906775
concrete,2,0,11,8.630418689188271
concrete,2,1,11,8.569351005246043
concrete,2,2,11,8.460585697254638
concrete,2,3,11,9.183963609307783
concrete,2,4,11,8.900662817466873
concrete,2,5,11,8.957667141298318
concrete,3,0,11,9.020324917369745
concrete,3,1,11,8.805174038842688
concrete,3,2,11,8.226662516411341
concrete,3,3,11,7.927024591057263
concrete,3,4,11,9.318913120770478
concrete,3,5,11,9.43508142849332
concrete,4,0,11,8.037981386741519
concrete,4,1,11,9.092082427302673
concrete,4,2,11,8.290673564237853
concrete,4,3,11,8.507255106484465
concrete,4,4,11,8.082306937245027
concrete,4,5,11,8.047944048155824
concrete,0,0,12,9.71081080992056
concrete,0,1,12,9.39877511298686
concrete,0,2,12,8.50214822223085
concrete,0,3,12,8.976301267787251
concrete,0,4,12,8.353086669905922
concrete,0,5,12,8.86029639192551
concrete,1,0,12,8.737543775723996
concrete,1,1,12,8.558557260369028
concrete,1,2,12,8.103520795057607
concrete,1,3,12,7.898195909020778
concrete,1,4,12,8.854916768328195
concrete,1,5,12,8.244763350092812
concrete,2,0,12,8.419900970361086
concrete,2,1,12,9.132103691458946
concrete,2,2,12,9.34901669472191
concrete,2,3,12,10.141094056295877
concrete,2,4,12,8.178431335617557
concrete,2,5,12,8.212624986987471
concrete,3,0,12,7.930056210202059
concrete,3,1,12,8.663610365656888
concrete,3,2,12,8.528558490344487
concrete,3,3,12,9.084027177640582
concrete,3,4,12,8.786568333849106
concrete,3,5,12,8.55291537911425
concrete,4,0,12,9.474053772147403
concrete,4,1,12,7.669519055243379
concrete,4,2,12,8.673889121617803
concrete,4,3,12,8.528889085366213
concrete,4,4,12,8.633237408222248
concrete,4,5,12,7.796675753608794
energyCooling,0,0,1,3.0745704215467544
energyCooling,0,1,1,2.665842993230572
energyCooling,0,2,1,3.3175751388978885
energyCooling,0,3,1,6.50211218101599
energyCooling,0,4,1,2.1577340408595447
energyCooling,0,5,1,2.725895123302212
energyCooling,1,0,1,2.880807001319569
energyCooling,1,1,1,2.0883391483307485
energyCooling,1,2,1,2.669953195914462
energyCooling,1,3,1,2.2512299819692645
energyCooling,1,4,1,2.4291618527914256
energyCooling,1,5,1,3.17391850755221
energyCooling,2,0,1,3.3830686814375093
energyCooling,2,1,1,3.903497911261147
energyCooling,2,2,1,3.084631690489133
energyCooling,2,3,1,2.4128223469927645
energyCooling,2,4,1,2.707501073669439
energyCooling,2,5,1,3.28723740041539
energyCooling,3,0,1,4.048534445858572
energyCooling,3,1,1,3.1178433115508604
energyCooling,3,2,1,4.830293081031947
energyCooling,3,3,1,3.818916835611249
energyCooling,3,4,1,3.65945025071518
energyCooling,3,5,1,3.859284703887611
energyCooling,4,0,1,2.91314427425066
energyCooling,4,1,1,2.2712593233133807
energyCooling,4,2,1,2.6938645366696847
energyCooling,4,3,1,2.1252770770595744
energyCooling,4,4,1,3.2384414395186445
