Dataset,Fold,Rep,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,1,4,535.686147156,2.5470311547997535,0.13408508415346668,1.8938064335959532,2.4554246873159,0.13445297539573114,1.8221385718757468,211,-30580.332*log( 2.983+-10.9*(x_1^-3.0 * x_3^-2.0) ) + 29.718*log( 1.0+1.0*(x_1^-3.0 * x_5^-3.0) ) + -293.745*log( 1.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 8.678*log( 1.0+1.0*(x_1^-1.0 * x_5^-3.0) ) + -3.754*log( 1.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 1.354*log( 1.0+1.0*(x_4^3.0 * x_5^2.0) ) + -2709.461*log( 1.0+1.0*(x_3^1.0 * x_5^-3.0) ) + -17248.899*log( 1.0+1.0*(x_3^1.0 * x_5^2.0) ) + 2558.426*log( 1.0+1.0*(x_3^1.0 * x_4^3.0) ) + 71.81*log( 1.0+1.0*(x_3^2.0 * x_4^3.0) ) + -0.247*log( 1.0+1.0*(x_2^1.0 * x_3^-3.0) ) + -2.135*log( 1.0+1.0*(x_2^3.0 * x_4^-1.0) ) + 7993.264*log( 1.0+1.0*(x_1^1.0 * x_5^-1.0) ) + -56.277*log( 1.0+1.0*(x_1^2.0 * x_5^2.0) ) + -3941.963*log( 1.0+1.0*(x_1^2.0 * x_4^2.0) ) + 33593.0
airfoil,1,5,1307.202180454,2.66791517814149,0.14711467277175574,2.0129140535525702,2.66725592102891,0.1586523674763024,1.9955476316073946,202,-4.542*identity( 9.467+-726.33*(x_1^-3.0 * x_3^-3.0) ) + 481.744*identity( 16.138+0.017*(x_1^-2.0 * x_5^-2.0) ) + 68.275*identity( 12.381+-0.093*(x_1^-1.0 * x_3^-2.0) ) + -273.106*identity( 31.725+0.115*(x_1^-1.0 * x_5^-1.0) ) + -0.67*identity( 5.216+37.701*(x_1^-1.0 * x_4^1.0) ) + -1.052*identity( 15.234+105.102*(x_3^-2.0 * x_4^-3.0) ) + 3.796*identity( -8.533+0.095*(x_3^-2.0 * x_4^-1.0) ) + -0.946*identity( 6.225+-0.117*(x_4^1.0) ) + 0.019*identity( -2699.609+0.014*(x_4^3.0 * x_5^1.0) ) + 9.645*identity( 29.888+-2.884*(x_3^1.0) ) + 0.485*identity( 217.513+-7794.724*(x_2^1.0 * x_5^3.0) ) + -0.005*identity( 18790.025+0.04*(x_2^2.0 * x_5^-1.0) ) + -0.001*identity( -26379.519+0.352*(x_1^1.0) ) + -0.004*identity( 4086.651+-160.652*(x_1^1.0 * x_5^2.0) ) + -3.366*log( 1.0+1.0*(x_1^3.0 * x_5^2.0) ) + 58.0
airfoil,2,0,683.49256928,2.538085147188644,0.1336681022113603,1.885902885143589,2.4389465514100386,0.13146127765397173,1.910592587363848,208,-313.262*log( 1.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 972.208*log( 1.0+1.0*(x_3^-3.0 * x_4^1.0) ) + 262.638*log( 4.728+3.054*(x_3^-2.0 * x_4^-3.0) ) + 78967.736*log( 2.52+-1.772*(x_5^3.0) ) + -484.803*log( 1.0+1.0*(x_4^2.0 * x_5^-2.0) ) + 315.974*log( 1.0+1.0*(x_3^2.0 * x_5^-3.0) ) + -1.842*log( 1.0+1.0*(x_3^3.0 * x_5^-1.0) ) + 401.703*log( 1.0+1.0*(x_2^2.0 * x_4^-3.0) ) + -9.75*log( 1.0+1.0*(x_2^2.0 * x_4^-1.0) ) + -0.322*log( 1.0+1.0*(x_2^3.0 * x_3^-2.0) ) + -21.505*log( 1.0+1.0*(x_1^1.0 * x_4^-3.0) ) + -54.268*log( 1.0+1.0*(x_1^2.0 * x_5^2.0) ) + 572.43*log( 1.0+1.0*(x_1^2.0 * x_3^2.0) ) + -377.35*log( 1.0+1.0*(x_1^3.0 * x_3^-3.0) ) + 28.881*log( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + -73218.0
airfoil,2,1,1387.931056533,2.6879780678021814,0.1499225113549301,2.014082341162952,2.739161737810992,0.1658168405496435,2.095616107965509,205,-6.176*identity( 107.775+-1448.879*(x_1^-3.0 * x_3^-3.0) ) + -146.487*identity( -17.823+-0.051*(x_1^-3.0 * x_5^-3.0) ) + 4633.412*identity( 1.684+-0.475*(x_1^-2.0 * x_3^-2.0) ) + -481.25*identity( 24.77+0.038*(x_1^-2.0 * x_5^-2.0) ) + 0.572*identity( 40.734+0.11*(x_3^-3.0 * x_4^-2.0) ) + 85.259*identity( 21.784+-1.7983588597e7*(x_4^-3.0 * x_5^3.0) ) + 0.035*identity( 752.158+2.009*(x_4^-1.0 * x_5^-1.0) ) + 56.881*identity( 18.218+-3.829*(x_4^-1.0) ) + -373.653*sqrt( 12.928+2.546*(x_5^1.0) ) + -0.04*sqrt( 1.0+1.0*(x_2^1.0 * x_5^-1.0) ) + -1.162*sqrt( 1.0+1.0*(x_1^1.0 * x_3^2.0) ) + -0.049*sqrt( 1.0+1.0*(x_1^2.0 * x_5^1.0) ) + 0.015*sqrt( 1.0+1.0*(x_1^2.0 * x_3^3.0) ) + 0.003*sqrt( 1.0+1.0*(x_1^3.0 * x_5^2.0) ) + -0.006*sqrt( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + 720.0
airfoil,2,2,470.258040131,2.680476418877034,0.14908686712680122,1.971078055773541,2.5427110948724057,0.14288522363054057,1.994561781154335,208,-13.02*sqrt( 1.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + -37.387*sqrt( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 1.048*sqrt( 1.0+1.0*(x_3^-3.0 * x_4^-2.0) ) + 1.43*sqrt( 1.0+1.0*(x_4^-1.0 * x_5^-1.0) ) + 0.132*sqrt( 1.0+1.0*(x_4^2.0) ) + -4075.528*sqrt( 1.0+1.0*(x_3^1.0 * x_5^1.0) ) + 0.015*sqrt( 4.343870099e6+0.142*(x_2^3.0 * x_3^-2.0) ) + -0.938*sqrt( 1.0+1.0*(x_2^3.0 * x_3^1.0) ) + 2.732*sqrt( 1.0+1.0*(x_2^3.0 * x_3^2.0) ) + -0.002*sqrt( 1.0+1.0*(x_1^1.0 * x_3^-2.0) ) + -1.096*sqrt( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + -0.012*sqrt( 1.0+1.0*(x_1^1.0 * x_2^2.0) ) + 0.579*sqrt( 168960.639+-0.054*(x_1^2.0 * x_4^-2.0) ) + 0.008*sqrt( 1.0+1.0*(x_1^2.0 * x_5^1.0) ) + 0.013*sqrt( 1.0+1.0*(x_1^2.0 * x_3^3.0) ) + 3995.0
airfoil,2,3,587.199789808,2.5406443796842075,0.13393780176828277,1.8978137872683345,2.5483027782779843,0.14351435325753586,1.9757431635166203,211,130766.222*log( 1.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + 2.155*log( 3.7277487094e7+5.2076958107e7*(x_1^-1.0 * x_3^-3.0) ) + -352.048*log( 1.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 7.727*log( 1.0+1.0*(x_1^-1.0 * x_5^-3.0) ) + -2.591*log( 1.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 17.635*log( 1.0+1.0*(x_4^2.0 * x_5^1.0) ) + -196.625*log( 1.0+1.0*(x_4^3.0 * x_5^1.0) ) + 284.619*log( 1.0+1.0*(x_3^1.0 * x_4^2.0) ) + -5.702*log( 1.0+1.0*(x_3^2.0 * x_4^1.0) ) + -0.347*log( 1.0+1.0*(x_2^1.0 * x_3^-2.0) ) + -4076.974*log( 1.0+1.0*(x_2^1.0 * x_5^3.0) ) + 94.2*log( 1.0+1.0*(x_1^1.0 * x_3^-3.0) ) + -74.096*log( 1.0+1.0*(x_1^1.0 * x_5^-3.0) ) + -56.901*log( 1.0+1.0*(x_1^2.0 * x_5^2.0) ) + 30.135*log( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + 110.0
airfoil,2,4,528.604689285,2.6143329085605096,0.14181990374487546,1.9691205746552007,2.5557077685864256,0.14434962798311227,2.0008245509258646,208,-1182.78*identity( 49.062+-17.099*(x_1^-2.0 * x_3^-1.0) ) + 12.388*log( 1.0+1.0*(x_1^-1.0 * x_5^-3.0) ) + -32.535*log( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + -4.516*log( 1.0+1.0*(x_1^-1.0 * x_4^2.0) ) + -4461.318*log( 1.0+1.0*(x_3^-1.0 * x_5^3.0) ) + -7.257*log( 732507.67+43303.108*(x_4^-3.0 * x_5^-2.0) ) + 234.628*log( 1.0+1.0*(x_4^-2.0 * x_5^-1.0) ) + -180.687*log( 1.0+1.0*(x_5^-3.0) ) + -212.265*log( 1.0+1.0*(x_4^2.0 * x_5^1.0) ) + 3929.781*log( 3.511+-81.582*(x_3^2.0 * x_5^2.0) ) + 146.153*log( 1.0+1.0*(x_3^2.0 * x_4^3.0) ) + -1.028*log( 1.0+1.0*(x_3^3.0 * x_5^-1.0) ) + -0.395*log( 1.0+1.0*(x_2^2.0 * x_3^-2.0) ) + -297.351*log( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + 98.824*log( 1.0+1.0*(x_1^3.0 * x_5^-3.0) ) + 53345.0
airfoil,2,5,823.695949267,2.521737101565794,0.13195171010629708,1.8565799438349444,2.5150340174073773,0.13979157881013005,1.9387786271512368,211,7828.333*log( 1.0+1.0*(x_1^-3.0 * x_3^-3.0) ) + 26.775*log( 1.0+1.0*(x_1^-3.0 * x_5^-3.0) ) + -1849.787*log( 1.0+1.0*(x_1^-2.0 * x_3^-2.0) ) + -51.484*log( 1.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + -6833.159*log( 1.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + -13.068*log( 1.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 27338.068*log( 1.0+1.0*(x_3^-2.0 * x_5^-2.0) ) + -27338.415*log( 1.0+1.0*(x_3^-1.0 * x_5^-2.0) ) + 7.526*log( 1.0+1.0*(x_3^3.0 * x_4^3.0) ) + -0.189*log( 1.0+1.0*(x_2^1.0 * x_4^3.0) ) + -5.01*log( 1.0+1.0*(x_2^3.0 * x_4^-1.0) ) + 1.59*log( 1.0+1.0*(x_2^3.0 * x_3^2.0) ) + -6827.23*log( 1.0+1.0*(x_1^1.0 * x_3^-2.0) ) + -20.586*log( 1.0+1.0*(x_1^1.0 * x_4^-1.0) ) + 6825.632*log( 1.0+1.0*(x_1^1.0 * x_3^2.0) ) + 175.0
airfoil,3,0,602.250007664,2.53026836892827,0.13339969365918092,1.8415439017222084,2.581355814850029,0.1441384229279371,1.94395821240424,205,-29.087*log( 1.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 2.141*log( 1.0+1.0*(x_1^-1.0 * x_5^-2.0) ) + -35.036*log( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 7.588*log( 1.0+1.0*(x_3^-3.0 * x_4^-3.0) ) + -43454.52*log( 1.0+1.0*(x_5^-3.0) ) + -288.041*log( 9.73552219e6+-878237.598*(x_3^2.0) ) + 5.527*log( 1.0+1.0*(x_3^3.0 * x_5^-3.0) ) + -6.695*log( 1.0+1.0*(x_2^2.0 * x_4^-1.0) ) + 1.844*log( 1.0+1.0*(x_2^2.0 * x_3^1.0) ) + -0.555*log( 1.0+1.0*(x_2^3.0 * x_3^-1.0) ) + -53.177*log( 60012.394+0.017*(x_1^1.0 * x_3^-1.0) ) + -4.159*log( 1.0+1.0*(x_1^1.0 * x_4^-2.0) ) + 39104.794*log( 1.0+1.0*(x_1^1.0 * x_5^-3.0) ) + -13.542*log( 1.0+1.0*(x_1^1.0 * x_3^2.0) ) + -13032.537*log( 1.0+1.0*(x_1^3.0 * x_5^1.0) ) + 5379.0
airfoil,3,1,432.076318585,2.4771164477869125,0.12785405467404803,1.825359755751169,2.625682196061214,0.14913114104712344,1.964938181990501,211,-55.867*log( 1.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + 6226.268*log( 21633.912+1.19023775197e8*(x_1^-1.0 * x_5^-3.0) ) + -3.421*log( 1.0+1.0*(x_1^-1.0 * x_4^2.0) ) + -6757.009*log( 1.0+1.0*(x_3^1.0 * x_5^-3.0) ) + 224.2*log( 1.0+1.0*(x_3^1.0 * x_4^2.0) ) + 283.511*log( 1.0+1.0*(x_3^2.0 * x_5^-3.0) ) + -3311.193*log( 1.0+1.0*(x_3^2.0 * x_5^1.0) ) + -5.017*log( 1.0+1.0*(x_2^3.0 * x_4^-1.0) ) + -0.205*log( 1.0+1.0*(x_2^3.0 * x_4^2.0) ) + 2.17*log( 1.0+1.0*(x_2^3.0 * x_3^2.0) ) + -261.662*log( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + 414.734*log( 1.0+1.0*(x_1^2.0 * x_5^-2.0) ) + 29.257*log( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + -219.716*log( 1.0+1.0*(x_1^3.0 * x_4^2.0) ) + 2072.772*log( 1.0+1.0*(x_1^3.0 * x_3^3.0) ) + -115604.0
