Dataset,Fold,Rep,Conf,Error
airfoil,0,0,1,2.73704834385108
airfoil,0,1,1,2.7943464462313075
airfoil,0,2,1,2.859457289825516
airfoil,0,3,1,2.9038862367212284
airfoil,0,4,1,2.829357478865443
airfoil,0,5,1,2.6723111057129008
airfoil,1,0,1,2.684047851188798
airfoil,1,1,1,2.848349353063033
airfoil,1,2,1,2.3826401856286332
airfoil,1,3,1,2.7230312420505833
airfoil,1,4,1,2.4460005723893086
airfoil,1,5,1,2.803655869942076
airfoil,2,0,1,2.6938146912165366
airfoil,2,1,1,2.5431602960377173
airfoil,2,2,1,2.8120992418021054
airfoil,2,3,1,3.600702168104647
airfoil,2,4,1,2.571144995503082
airfoil,2,5,1,2.630260416578056
airfoil,3,0,1,3.10787951467589
airfoil,3,1,1,3.306952813199878
airfoil,3,2,1,2.9335183004903795
airfoil,3,3,1,2.8455052959561105
airfoil,3,4,1,2.8925532275554255
airfoil,3,5,1,2.7622940116323713
airfoil,4,0,1,3.004888464270945
airfoil,4,1,1,2.9704006678769197
airfoil,4,2,1,3.380680232527767
airfoil,4,3,1,3.036336259095366
airfoil,4,4,1,2.8863730020628475
