Dataset,Fold,Rep,Conf,Error
airfoil,0,0,1,2.7340695568217117
airfoil,0,1,1,2.9543585289983287
airfoil,0,2,1,2.6131796388040267
airfoil,0,3,1,2.653754761006293
airfoil,0,4,1,2.8846907916197297
airfoil,0,5,1,2.748548929744368
airfoil,1,0,1,2.6317884084311562
airfoil,1,1,1,2.532979795770147
airfoil,1,2,1,2.5592196957384776
airfoil,1,3,1,2.507098806095765
airfoil,1,4,1,2.5751345611059646
airfoil,1,5,1,2.4954231638784714
airfoil,2,0,1,2.3883378090307223
airfoil,2,1,1,2.671063722778077
airfoil,2,2,1,2.610085809852713
airfoil,2,3,1,2.5194987526087247
airfoil,2,4,1,2.512943845025932
airfoil,2,5,1,2.4869000615565406
airfoil,3,0,1,3.0325699398991017
airfoil,3,1,1,2.9049217200752113
airfoil,3,2,1,2.9417242232999685
airfoil,3,3,1,2.9498289866070633
airfoil,3,4,1,2.7892731561808817
airfoil,3,5,1,3.194763370510927
airfoil,4,0,1,3.8274741884853896
airfoil,4,1,1,3.0390791688521364
airfoil,4,2,1,3.9977404122672158
airfoil,4,3,1,2.920918008911043
airfoil,4,4,1,2.842027553836055
airfoil,4,5,1,2.7877467330156263
airfoil,0,0,2,3.004937235058848
airfoil,0,1,2,2.6994419591260685
airfoil,0,2,2,2.7095243699598166
airfoil,0,3,2,2.7208221356680276
airfoil,0,4,2,2.7146982275713394
airfoil,0,5,2,2.783113989779333
airfoil,1,0,2,2.541178090041515
airfoil,1,1,2,2.606231419891074
airfoil,1,2,2,2.5291580206823987
airfoil,1,3,2,2.434886619455024
airfoil,1,4,2,2.570144162146656
airfoil,1,5,2,2.4266125669146383
airfoil,2,0,2,2.4754278918436747
airfoil,2,1,2,2.7605516708203095
airfoil,2,2,2,2.3521606414458947
airfoil,2,3,2,2.5531089709150048
airfoil,2,4,2,2.531767030374008
airfoil,2,5,2,2.498273286055445
airfoil,3,0,2,2.668147228726217
airfoil,3,1,2,2.7829157642885924
airfoil,3,2,2,2.609289176447297
airfoil,3,3,2,2.8453049577066594
airfoil,3,4,2,2.854543992862451
airfoil,3,5,2,2.7362612720165256
airfoil,4,0,2,2.7494789193355484
airfoil,4,1,2,5.665113423915981
airfoil,4,2,2,2.7092565531577164
airfoil,4,3,2,2.84522461414327
airfoil,4,4,2,2.701760524951107
airfoil,4,5,2,2.73025947714213
airfoil,0,0,3,2.7219381504594127
airfoil,0,1,3,2.753572965174307
airfoil,0,2,3,2.708905445163536
airfoil,0,3,3,2.7353998822208108
airfoil,0,4,3,2.6068910283503395
airfoil,0,5,3,2.819122702534124
airfoil,1,0,3,2.516974641508723
airfoil,1,1,3,2.4604858366901414
airfoil,1,2,3,2.5838345319362146
airfoil,1,3,3,2.4785634814940005
airfoil,1,4,3,2.629939824308772
airfoil,1,5,3,2.463022677656441
airfoil,2,0,3,2.5152841497065896
airfoil,2,1,3,2.4748035267714155
airfoil,2,2,3,2.375085170188197
airfoil,2,3,3,2.592757263028088
airfoil,2,4,3,2.5436319560412466
airfoil,2,5,3,2.3393020721960482
airfoil,3,0,3,2.887121014652075
airfoil,3,1,3,2.7775300851859233
airfoil,3,2,3,2.958285818924527
