Dataset,Fold,Rep,Conf,Error
airfoil,0,0,1,3.9757057946759997
airfoil,0,1,1,3.872869272586415
airfoil,0,2,1,3.779137876114773
airfoil,0,3,1,3.522697689333253
airfoil,0,4,1,4.2744096104233105
airfoil,0,5,1,4.516370635389468
airfoil,1,0,1,4.678251651418913
airfoil,1,1,1,3.593078611836324
airfoil,1,2,1,4.13678876913139
airfoil,1,3,1,3.218011990013776
airfoil,1,4,1,3.570987507924218
airfoil,1,5,1,4.758503840199812
