Dataset,Rep,Time,Fitness_train,Fitness_test
airfoil,1,119.328336769,6.430733641566884,6.615259495933468
airfoil,2,137.183760717,6.174237937435776,6.221494242227451
airfoil,3,118.055785809,5.521594851835546,5.6171263345302425
airfoil,4,82.124968765,4.901516438824193,4.958238661422862
airfoil,5,87.306874344,6.307578263462317,6.29746403142971
airfoil,6,77.013815331,6.095698660109072,6.2640761451182065
airfoil,7,60.37244233,6.13512613327917,6.356730061223951
airfoil,8,111.386425723,5.981301676109316,5.842768145527515
airfoil,9,84.221021536,5.963685452279172,5.826320358308105
airfoil,10,101.541936047,5.36590097210667,5.305519637300198
airfoil,11,34.04692988,6.435564395876649,6.457199475385175
