Dataset,Adj_method,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
yacht,ordinary_least_squares_levenberg_marquardt_adj,2580.262131851,7.399572690982528,0.23159853924839743,5.074770686702717,6.761138511879796,0.22143286692713054,5.078817567660023,43,0.553*cos(3.307+-9.842*(x_3^-1.0 * x_5^2.0)) + 4.636*cos(0.648+-0.346*(x_5^3.0 * x_6^2.0)) + 81.924*sin(-1.555+0.516*(x_5^2.0 * x_6^2.0)) + 77.0
airfoil,levenberg_marquardt_ordinary_least_squares_adj,112.940965991,3.7004645664296665,0.28748292773006756,2.8654747215774896,3.785901339982563,0.30184729967742097,2.7042329823933215,57,-4.391*identity(58.202+777.984*(x_1^-2.0 * x_5^-1.0)) + -52.1*sqrt(1.0+1.0*(x_2^1.0 * x_4^-1.0)) + -5.444*sqrt(1.0+1.0*(x_1^1.0 * x_5^2.0)) + -0.523*sqrt(1.0+1.0*(x_1^1.0 * x_3^1.0)) + 452.0
concrete,levenberg_marquardt_ordinary_least_squares_adj,59.191887795,6.977530857079126,0.17220653135816982,5.3661053483594,7.025345361714269,0.18481666559445759,5.469163097598356,57,3.958*log(1.0+1.0*(x_1^-2.0 * x_2^3.0)) + -15.146*log(1.0+1.0*(x_4^3.0 * x_8^3.0)) + 0.472*log(1.0+1.0*(x_3^3.0 * x_8^2.0)) + 17.885*log(1.0+1.0*(x_1^2.0 * x_8^3.0)) + 35.0
energyCooling,levenberg_marquardt_ordinary_least_squares_adj,100.848231918,2.818921543668647,0.08773163827272171,2.2126485807677043,2.923705495864551,0.09371377144813538,2.2489349932315226,57,5.19*sin(-69.035+-12.945*(x_1^-3.0 * x_4^2.0)) + 9.787*sin(69.994+21.278*(x_1^-2.0 * x_5^-2.0)) + 1.881*sin(81.917+-72.662*(x_3^-1.0 * x_4^1.0)) + 0.721*tan(-55.758+-1705.193*(x_1^2.0 * x_4^-1.0)) + 26.0
energyHeating,levenberg_marquardt_ordinary_least_squares_adj,94.652276178,1.73755268810245,0.02975751125132303,1.414051435371386,1.9373232471173363,0.03655462093029488,1.5426759039045077,57,0.071*cos(2.097+-27.149*(x_1^-2.0 * x_5^2.0)) + 4.416*cos(-65.876+-52.146*(x_1^-2.0 * x_3^3.0)) + 707.902*sin(-9.485+241519.64*(x_2^-2.0 * x_5^-2.0)) + 10.885*sqrt(1.0+1.0*(x_5^1.0 * x_7^1.0)) + -19.0
wineRed,levenberg_marquardt_ordinary_least_squares_adj,124.475295808,0.6326165916563635,0.6097135634176678,0.4872403397109125,0.6523804902949475,0.666343777785606,0.5096233621859783,57,1.034*log(1.0+1.0*(x_10^-2.0 * x_11^3.0)) + -2.184*log(1.0+1.0*(x_8^3.0 * x_10^-2.0)) + -0.026*sqrt(1.0+1.0*(x_5^2.0 * x_7^2.0)) + -0.229*sqrt(1.0+1.0*(x_2^1.0 * x_9^3.0)) + 1.0
yacht,levenberg_marquardt_ordinary_least_squares_adj,20.219056062,1.6269068536625875,0.011195613869158738,1.237642294635184,1.3137966220156951,0.008361009143426835,0.9987920116374012,48,10336.486*log(1.0+1.0*(x_6^-3.0)) + -15237.052*log(1.0+1.0*(x_6^-2.0)) + -40545.352*log(32.323+-5.683*(x_6^1.0)) + -795.363*log(1.0+1.0*(x_2^3.0 * x_6^3.0)) + 139130.0
airfoil,levenberg_marquardt_adj,860.727561257,6.787026208227037,0.9670715598564705,5.581009521291304,6.910491420238857,1.0056956577000895,5.809079429534076,15,-0.727*cos(46.978+17.482*(x_1^1.0 * x_5^2.0)) + 123.0
concrete,levenberg_marquardt_adj,736.38887357,16.1672141671675,0.9245203403386447,13.000576486664317,15.758739284836537,0.9299266931895782,12.402532475634263,15,-7.938*cos(93.911+-4.716*(x_4^-1.0 * x_8^2.0)) + 38.0
energyCooling,levenberg_marquardt_adj,1760.681926834,5.194093683531005,0.29785837710914354,4.173661160304016,5.062633230006942,0.28098885766626597,4.012036583688778,26,-55.268*exp(-24.049+-71.861*(x_3^3.0 * x_5^-3.0)) + 6.824*sin(-50.402+52.085*(x_5^-2.0)) + 25.0
energyHeating,levenberg_marquardt_adj,973.144909735,4.1630804858370825,0.17082453836394326,3.205831303188327,4.602526167846448,0.20631492088831996,3.4679929800480944,29,-35.48*exp(-15.996+-20.939*(x_5^-2.0 * x_7^-1.0)) + -22.779*cos(-54.373+-39.491*(x_1^2.0 * x_5^-2.0)) + 31.0
wineRed,levenberg_marquardt_adj,2918.469346292,0.810032189349749,0.9996529571013979,0.6850446049113711,0.7981554760222789,0.9974047044509368,0.6733713513580875,15,-2.913*exp(-39.456+2.686*(x_4^3.0 * x_7^-3.0)) + 6.0
yacht,levenberg_marquardt_adj,729.216825545,6.594924071934848,0.18396793508062934,5.1470279607453095,7.181504012701727,0.24982346724223226,5.605468697923081,34,-36.896*cos(-88.451+53.314*(x_3^-1.0 * x_6^2.0)) + 39.233*cos(40.385+-72.734*()) + 5.332*cos(93.152+28.888*(x_4^1.0)) + 7.0
